Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,latitude,longitude
Fearless,1993,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,,38.423007,-82.0301669
Fearless,1993,90 Gold Street,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,,37.7967226,-122.403448
Fearless,1993,5th and Beale Streets,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,,36.778261,-119.4179324
Fearless,1993,Kohl Building (400 Montgomery Street),,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,,36.778261,-119.4179324
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,,36.778261,-119.4179324
Fearless,1993,Varennes Alley between Filbert and Union,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,,36.778261,-119.4179324
Fearless,1993,Folsom Street & Embarcadero,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,,37.790749,-122.389841
Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,36.778261,-119.4179324
Final Analysis,1992,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,37.7793176,-122.4191405
Final Analysis,1992,"Presidio, Golden Gate National Recreation Area","In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,37.7988737,-122.4661937
Final Analysis,1992,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)","In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,36.778261,-119.4179324
Final Analysis,1992,Bix Restaurant (56 Gold Street),,Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,36.778261,-119.4179324
Flower Drum Song,1961,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,,37.7941378,-122.4077914
Flower Drum Song,1961,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,,37.8196974,-122.4787854
Flubber,1997,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Walt Disney Pictures,Buena Vista Pictures,Les Mayfield,Samuel W. Taylor,Robin Williams,Marcia Gay Harden,,37.8235515,-122.370648
Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Parmaount Pictures,Robert Zemeckis,Eric Roth,Tom Hanks,Robin Wright,,36.778261,-119.4179324
Forty Days and Forty Nights,2002,"The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,36.778261,-119.4179324
Forty Days and Forty Nights,2002,Café Trieste (609 Vallejo),"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,36.778261,-119.4179324
Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,36.778261,-119.4179324
Foul Play,1978,Sutter & Buchannan Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7864983,-122.4299484
Foul Play,1978,Sutter & Baker Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7848291,-122.4431834
Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7865095,-122.4285783
Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7919439,-122.4175955
Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church,36.778261,-119.4179324
Foul Play,1978,Pawtrero Hill Bathhouse & Feed Co. (199 Mississippi Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church,36.778261,-119.4179324
Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church,37.7766835,-122.4246503
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,36.778261,-119.4179324
Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church,37.7904641,-122.4291355
Foul Play,1978,Montgomery & Pine Streets (Financial District),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church,37.7919047,-122.4026124
Foul Play,1978,Flood Building (870 Market Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,36.778261,-119.4179324
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,36.778261,-119.4179324
Foul Play,1978,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7793176,-122.4191405
Foul Play,1978,California & Larkin Streets (Nob Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7908132,-122.4190677
Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)",The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7802635,-122.4163842
Foul Play,1978,Andrew S. Hallidie Plaza (Market & Powell Streets),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,36.778261,-119.4179324
Foul Play,1978,430 Vallejo Street (Telegraph Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.79928,-122.404632
Foul Play,1978,24th and Castro Streets (Noe Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.75115950000001,-122.4363063
Foul Play,1978,Golden Gate & Steiner Streets (Hayes Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.7793637,-122.433592
Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.8074131,-122.4304447
Foul Play,1978,"Fort Point, Presidio","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,,37.8105374,-122.4770634
Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick openend in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn,37.7135015,-122.3863198
Freebie and the Bean,1974,Alco Plaza,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn,34.9840089,-120.4495793
Freebie and the Bean,1974,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,37.7544066,-122.4476845
Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,37.7952,-122.4028
Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,36.778261,-119.4179324
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,36.778261,-119.4179324
Freebie and the Bean,1974,Potrero Hill,The crookedest street in San Fransisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,37.7604929,-122.400869
Freebie and the Bean,1974,Nob Hill,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroeyd Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,37.793014,-122.416113
Freebie and the Bean,1974,Hyatt Regency Hotel (5 Embarcadero Center),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,36.778261,-119.4179324
Freebie and the Bean,1974,Folsom Street (SOMA),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,37.7623444,-122.4150575
Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,37.7924958,-122.4100354
Freebie and the Bean,1974,Embarcadero Freeway,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,,37.7472584,-122.3936442
Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn,37.7978825,-122.4067348
Gentleman Jim,1942,The Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establisments out of business.",Warner Bros. Pictures,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn,,Katherine Hepburn,37.784196,-122.40811
George of the Jungle,1997,755 Vallejo Street,,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,37.7984572,-122.4098399
George of the Jungle,1997,The Tamalpias Building (1201 Greenwich Street at Hyde),,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,36.778261,-119.4179324
George of the Jungle,1997,"Neiman Marcus (150 Stockton Street, Union Square)",The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,36.778261,-119.4179324
George of the Jungle,1997,First Bank (550 Montgomery Street at Commercial),"Called ""Stanhope Bank"" in the film.",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,36.778261,-119.4179324
George of the Jungle,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugene Cardinal Pacelli, who later became Pope Pius XII. ",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,37.8107056,-122.3643287
Getting Even with Dad,1994,140 Maiden Lane,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,Connie Nielsen,37.7882919,-122.4059318
Getting Even with Dad,1994,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,36.778261,-119.4179324
Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square)",The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,36.778261,-119.4179324
Getting Even with Dad,1994,Mason Street at Jackson,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,37.7954401,-122.4115822
Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,John Heard,36.778261,-119.4179324
Getting Even with Dad,1994,Embarcadero Street Station- BART ,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,John Heard,37.7647977,-122.4200102
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick openend in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,John Heard,37.7135015,-122.3863198
Getting Even with Dad,1994,California & Grant Streets,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,37.792486,-122.4059615
Getting Even with Dad,1994,War Memorial Building (401 Van Ness Avenue),,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,36.778261,-119.4179324
Getting Even with Dad,1994,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,36.778261,-119.4179324
God is a Communist?* (show me heart universe),2010,Sacramento & Washington Streets,,Trismegistus,,Jon Poznanter,Jon Poznanter,John Wynn,,,36.778261,-119.4179324
Godzilla,2014,Bush & Kearny,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7907632,-122.4040735
Godzilla,2014,Kearney & Pine St.,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7916984,-122.4042596
Godzilla,2014,California & Davis St,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7935225,-122.3976275
Godzilla,2014,Pine St. & Davis St,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.79254,-122.39772
Godzilla,2014,Sacramento & Front St.,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7942958,-122.3989831
Godzilla,2014,Broadway & Sansome,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7984455,-122.4022486
Godzilla,2014,Broadway & Columbus,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7978825,-122.4067348
Godzilla,2014,Post & Jones St.,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7876866,-122.4133539
Godzilla,2014,Stockton & Clay St,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7940683,-122.4079435
Godzilla,2014,Mission & Fremont St,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7904736,-122.3967023
Godzilla,2014,Eddy & Taylor St.,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7841527,-122.4109767
Godzilla,2014,Pier 7 (The Embarcadero),,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.8001077,-122.3943664
Godzilla,2014,Pier 1,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7969874,-122.3951684
Godzilla,2014,Embarcadero & Washington,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.796355,-122.395181
Godzilla,2014,Mission & Beal,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7911592,-122.3958262
Godzilla,2014,Potrero &San Bruno,,"Nautiflus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7272864,-122.4034609
Golden Gate,1994,Ross Alley (Chinatown),Ross Alley is the oldest alley in San Francisco. ,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,,37.7955378,-122.4073916
Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista),"Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard,37.7681801,-122.4392915
Golden Gate,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard,37.8196974,-122.4787854
Golden Gate,1994,University of California Hastings College of the Law,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,37.7808685,-122.4156292
Golden Gate,1994,Bush Street (between Grant & Kearny Streets),,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard,36.778261,-119.4179324
Greed,1924,Bush and Sutter Streets,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,,Cloris Leachman,36.778261,-119.4179324
Greed,1924,Hayes Street at Laguna,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,,Cloris Leachman,37.7760469,-122.4295518
Greed,1924,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,,Cloris Leachman,36.778261,-119.4179324
Groove,2000,435 23rd Street at Ilinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,Cloris Leachman,37.7552805,-122.3845881
Groove,2000,435 23rd Street at Ilinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,Cloris Leachman,37.7552805,-122.3845881
Groove,2000,435 23rd Street at Ilinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,Cloris Leachman,37.7552805,-122.3845881
Guess Who's Coming to Dinner,1967,634 Raycliff Terrace,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,,37.7927793,-122.4427278
Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Cloris Leachman,36.778261,-119.4179324
Guess Who's Coming to Dinner,1967,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Cloris Leachman,37.615223,-122.389979
Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.),This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd. ,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Cloris Leachman,36.778261,-119.4179324
Haiku Tunnel,2001,,,Hello Hooker Productions,Sony Pictures Classics,Jakob Kornbluth & Josh Kornbluth,Jakob Kornbluth & Josh Kornbluth,Josh Kornbluth,Warren Keith,,37.7749295,-122.4194155
Happy Gilmore,1996,,,Brillstein-Grey Entertainment,Universal Pictures,Dennis Dugan,Tim Herlihy,Adam Sandler,,,37.7749295,-122.4194155
Hard to Hold,1984,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Universal Pictures,Universal Pictures,Larry Peerce,"Thomas Hedley, Jr. ",Rick Springfield,,Whoppi Goldberg,37.7924958,-122.4100354
Harold and Maude,1971,Conservatory of Flowers (Golden Gate Park),"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,Sam Elliot,37.7726683,-122.4587578
Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),,Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,Sam Elliot,37.7798498,-122.5138482
Harold and Maude,1971,Golden Gate Park,,Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,Sam Elliot,37.7694208,-122.4862138
Heart and Souls,1994,Stockton Tunnel (Stockton Street at Sutter Street),"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,36.778261,-119.4179324
Heart and Souls,1994,Conservatory of Flowers (Golden Gate Park),"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,37.7726683,-122.4587578
Heart and Souls,1994,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,Sam Elliot,36.778261,-119.4179324
Heart and Souls,1994,2810 Pacific Avenue,,Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,37.792743,-122.442084
